university_name,rank,arwu_uni_link
Radboud University Nijmegen,101-150,https://www.shanghairanking.com/institution/radboud-university-nijmegen
Rice University,101-150,https://www.shanghairanking.com/institution/rice-university
"Rutgers, The State University of New Jersey - New Brunswick",101-150,https://www.shanghairanking.com/institution/rutgers-the-state-university-of-new-jersey-new-brunswick
Sapienza University of Rome,101-150,https://www.shanghairanking.com/institution/sapienza-university-of-rome
Shandong University,101-150,https://www.shanghairanking.com/institution/shandong-university
Sichuan University,101-150,https://www.shanghairanking.com/institution/sichuan-university
Soochow University (China),101-150,https://www.shanghairanking.com/institution/soochow-university-china
South China University of Technology,101-150,https://www.shanghairanking.com/institution/south-china-university-of-technology
Southern University of Science and Technology,101-150,https://www.shanghairanking.com/institution/southern-university-of-science-and-technology
Southeast University,101-150,https://www.shanghairanking.com/institution/southeast-university
The Chinese University of Hong Kong,101-150,https://www.shanghairanking.com/institution/the-chinese-university-of-hong-kong
The Ohio State University - Columbus,101-150,https://www.shanghairanking.com/institution/the-ohio-state-university-columbus
Pennsylvania State University - University Park,101-150,https://www.shanghairanking.com/institution/pennsylvania-state-university-university-park
The University of Glasgow,101-150,https://www.shanghairanking.com/institution/the-university-of-glasgow
The University of Western Australia,101-150,https://www.shanghairanking.com/institution/the-university-of-western-australia
Tianjin University,101-150,https://www.shanghairanking.com/institution/tianjin-university
University of Electronic Science and Technology of China,101-150,https://www.shanghairanking.com/institution/university-of-electronic-science-and-technology-of-china
Université Grenoble Alpes,101-150,https://www.shanghairanking.com/institution/universit-grenoble-alpes
Université libre de Bruxelles (ULB),101-150,https://www.shanghairanking.com/institution/universit-libre-de-bruxelles-ulb
University of Amsterdam,101-150,https://www.shanghairanking.com/institution/university-of-amsterdam
University of Bern,101-150,https://www.shanghairanking.com/institution/university-of-bern
"University of California, Davis",101-150,https://www.shanghairanking.com/institution/university-of-california-davis
University of Florida,101-150,https://www.shanghairanking.com/institution/university-of-florida
University of Freiburg,101-150,https://www.shanghairanking.com/institution/university-of-freiburg
University of Gothenburg,101-150,https://www.shanghairanking.com/institution/university-of-gothenburg
University of Helsinki,101-150,https://www.shanghairanking.com/institution/university-of-helsinki
University of Lausanne,101-150,https://www.shanghairanking.com/institution/university-of-lausanne
University of Liverpool,101-150,https://www.shanghairanking.com/institution/university-of-liverpool
University of Nottingham,101-150,https://www.shanghairanking.com/institution/university-of-nottingham
University of Sao Paulo,101-150,https://www.shanghairanking.com/institution/university-of-sao-paulo
University of Utah,101-150,https://www.shanghairanking.com/institution/university-of-utah
University of Vienna,101-150,https://www.shanghairanking.com/institution/university-of-vienna
University of Warwick,101-150,https://www.shanghairanking.com/institution/university-of-warwick
Wuhan University,101-150,https://www.shanghairanking.com/institution/wuhan-university
Xi'an Jiaotong University,101-150,https://www.shanghairanking.com/institution/xian-jiaotong-university
Aix Marseille University,151-200,https://www.shanghairanking.com/institution/aix-marseille-university
Baylor College of Medicine,151-200,https://www.shanghairanking.com/institution/baylor-college-of-medicine
Beihang University,151-200,https://www.shanghairanking.com/institution/beihang-university
Beijing Normal University,151-200,https://www.shanghairanking.com/institution/beijing-normal-university
Cardiff University,151-200,https://www.shanghairanking.com/institution/cardiff-university
Case Western Reserve University,151-200,https://www.shanghairanking.com/institution/case-western-reserve-university
Delft University of Technology,151-200,https://www.shanghairanking.com/institution/delft-university-of-technology
Georgia Institute of Technology,151-200,https://www.shanghairanking.com/institution/georgia-institute-of-technology
Goethe University Frankfurt,151-200,https://www.shanghairanking.com/institution/goethe-university-frankfurt
Hunan University,151-200,https://www.shanghairanking.com/institution/hunan-university
Indiana University Bloomington,151-200,https://www.shanghairanking.com/institution/indiana-university-bloomington
King Abdulaziz University,151-200,https://www.shanghairanking.com/institution/king-abdulaziz-university
London School of Economics and Political Science,151-200,https://www.shanghairanking.com/institution/london-school-of-economics-and-political-science
London School of Hygiene & Tropical Medicine,151-200,https://www.shanghairanking.com/institution/london-school-of-hygiene-tropical-medicine
Lund University,151-200,https://www.shanghairanking.com/institution/lund-university
Michigan State University,151-200,https://www.shanghairanking.com/institution/michigan-state-university
Nankai University,151-200,https://www.shanghairanking.com/institution/nankai-university
Northwestern Polytechnical University,151-200,https://www.shanghairanking.com/institution/northwestern-polytechnical-university
Osaka University,151-200,https://www.shanghairanking.com/institution/osaka-university
Shenzhen University,151-200,https://www.shanghairanking.com/institution/shenzhen-university
Sungkyunkwan University,151-200,https://www.shanghairanking.com/institution/sungkyunkwan-university
Technical University of Denmark,151-200,https://www.shanghairanking.com/institution/technical-university-of-denmark
Texas A&M University,151-200,https://www.shanghairanking.com/institution/texas-a-m-university
The Hong Kong Polytechnic University,151-200,https://www.shanghairanking.com/institution/the-hong-kong-polytechnic-university
The University of Adelaide,151-200,https://www.shanghairanking.com/institution/the-university-of-adelaide
The University of Sheffield,151-200,https://www.shanghairanking.com/institution/the-university-of-sheffield
Tokyo Institute of Technology,151-200,https://www.shanghairanking.com/institution/tokyo-institute-of-technology
Tongji University,151-200,https://www.shanghairanking.com/institution/tongji-university
Tufts University,151-200,https://www.shanghairanking.com/institution/tufts-university
University of Arizona,151-200,https://www.shanghairanking.com/institution/university-of-arizona
University of Birmingham,151-200,https://www.shanghairanking.com/institution/university-of-birmingham
"University of California, Santa Cruz",151-200,https://www.shanghairanking.com/institution/university-of-california-santa-cruz
University of Cologne,151-200,https://www.shanghairanking.com/institution/university-of-cologne
University of Exeter,151-200,https://www.shanghairanking.com/institution/university-of-exeter
University of Goettingen,151-200,https://www.shanghairanking.com/institution/university-of-goettingen
University of Leeds,151-200,https://www.shanghairanking.com/institution/university-of-leeds
University of Massachusetts Amherst,151-200,https://www.shanghairanking.com/institution/university-of-massachusetts-amherst
University of Milan,151-200,https://www.shanghairanking.com/institution/university-of-milan
University of Montpellier,151-200,https://www.shanghairanking.com/institution/university-of-montpellier
Université de Montréal,151-200,https://www.shanghairanking.com/institution/university-of-montreal
University of Padua,151-200,https://www.shanghairanking.com/institution/university-of-padua
University of Pisa,151-200,https://www.shanghairanking.com/institution/university-of-pisa
University of Southampton,151-200,https://www.shanghairanking.com/institution/university-of-southampton
University of Strasbourg,151-200,https://www.shanghairanking.com/institution/university-of-strasbourg
University of Tuebingen,151-200,https://www.shanghairanking.com/institution/university-of-tuebingen
University of Waterloo,151-200,https://www.shanghairanking.com/institution/university-of-waterloo
Vrije Universiteit Amsterdam,151-200,https://www.shanghairanking.com/institution/vrije-universiteit-amsterdam
Wageningen University & Research,151-200,https://www.shanghairanking.com/institution/wageningen-university-research
Xiamen University,151-200,https://www.shanghairanking.com/institution/xiamen-university
Zhengzhou University,151-200,https://www.shanghairanking.com/institution/zhengzhou-university
Beijing University of Chemical Technology,201-300,https://www.shanghairanking.com/institution/beijing-university-of-chemical-technology
Capital Medical University,201-300,https://www.shanghairanking.com/institution/capital-medical-university
Catholic University of Louvain,201-300,https://www.shanghairanking.com/institution/catholic-university-of-louvain
China Agricultural University,201-300,https://www.shanghairanking.com/institution/china-agricultural-university
China Medical University (Taichung),201-300,https://www.shanghairanking.com/institution/china-medical-university-taichung
China University of Geosciences (Wuhan),201-300,https://www.shanghairanking.com/institution/china-university-of-geosciences-wuhan
Chongqing University,201-300,https://www.shanghairanking.com/institution/chongqing-university
Claude Bernard University Lyon 1,201-300,https://www.shanghairanking.com/institution/claude-bernard-university-lyon-1
Curtin University,201-300,https://www.shanghairanking.com/institution/curtin-university
Dalian University of Technology,201-300,https://www.shanghairanking.com/institution/dalian-university-of-technology
Deakin University,201-300,https://www.shanghairanking.com/institution/deakin-university
East China Normal University,201-300,https://www.shanghairanking.com/institution/east-china-normal-university
Ecole Normale Superieure - Lyon,201-300,https://www.shanghairanking.com/institution/ecole-normale-superieure-lyon
Florida State University,201-300,https://www.shanghairanking.com/institution/florida-state-university
Fuzhou University,201-300,https://www.shanghairanking.com/institution/fuzhou-university
George Mason University,201-300,https://www.shanghairanking.com/institution/george-mason-university
Hanyang University,201-300,https://www.shanghairanking.com/institution/hanyang-university
Hokkaido University,201-300,https://www.shanghairanking.com/institution/hokkaido-university
Jiangsu University,201-300,https://www.shanghairanking.com/institution/jiangsu-university
Jinan University,201-300,https://www.shanghairanking.com/institution/jinan-university
King Abdullah University of Science and Technology,201-300,https://www.shanghairanking.com/institution/king-abdullah-university-of-science-and-technology
Korea Advanced Institute of Science and Technology,201-300,https://www.shanghairanking.com/institution/korea-advanced-institute-of-science-and-technology
Korea University,201-300,https://www.shanghairanking.com/institution/korea-university
KTH Royal Institute of Technology,201-300,https://www.shanghairanking.com/institution/kth-royal-institute-of-technology
Lanzhou University,201-300,https://www.shanghairanking.com/institution/lanzhou-university
Maastricht University,201-300,https://www.shanghairanking.com/institution/maastricht-university
Macquarie University,201-300,https://www.shanghairanking.com/institution/macquarie-university
Medical University of Vienna,201-300,https://www.shanghairanking.com/institution/medical-university-of-vienna
Nanjing Medical University,201-300,https://www.shanghairanking.com/institution/nanjing-medical-university
NanJing Tech University,201-300,https://www.shanghairanking.com/institution/nanjing-tech-university
National Taiwan University,201-300,https://www.shanghairanking.com/institution/national-taiwan-university
Newcastle University,201-300,https://www.shanghairanking.com/institution/newcastle-university
North Carolina State University - Raleigh,201-300,https://www.shanghairanking.com/institution/north-carolina-state-university-raleigh
Northeastern University (Boston),201-300,https://www.shanghairanking.com/institution/northeastern-university-boston
Oregon Health and Science University,201-300,https://www.shanghairanking.com/institution/oregon-health-and-science-university
Oregon State University,201-300,https://www.shanghairanking.com/institution/oregon-state-university
Peking Union Medical College,201-300,https://www.shanghairanking.com/institution/peking-union-medical-college
Polytechnic University of Milan,201-300,https://www.shanghairanking.com/institution/polytechnic-university-of-milan
Qingdao University,201-300,https://www.shanghairanking.com/institution/qingdao-university
Queen Mary University of London,201-300,https://www.shanghairanking.com/institution/queen-mary-university-of-london
Queen's University,201-300,https://www.shanghairanking.com/institution/queens-university
RWTH Aachen University,201-300,https://www.shanghairanking.com/institution/rwth-aachen-university
Shanghai University,201-300,https://www.shanghairanking.com/institution/shanghai-university
Swinburne University of Technology,201-300,https://www.shanghairanking.com/institution/swinburne-university-of-technology
Taif University,201-300,https://www.shanghairanking.com/institution/taif-university
Technical University of Berlin,201-300,https://www.shanghairanking.com/institution/technical-university-of-berlin
Tel Aviv University,201-300,https://www.shanghairanking.com/institution/tel-aviv-university
The George Washington University,201-300,https://www.shanghairanking.com/institution/the-george-washington-university
The University of Auckland,201-300,https://www.shanghairanking.com/institution/the-university-of-auckland
The University of Calgary,201-300,https://www.shanghairanking.com/institution/the-university-of-calgary
Tohoku University,201-300,https://www.shanghairanking.com/institution/tohoku-university
Trinity College Dublin,201-300,https://www.shanghairanking.com/institution/trinity-college-dublin
TU Dresden,201-300,https://www.shanghairanking.com/institution/tu-dresden
Ulsan National Institute of Science and Technology,201-300,https://www.shanghairanking.com/institution/ulsan-national-institute-of-science-and-technology
University of Massachusetts Medical School - Worcester,201-300,https://www.shanghairanking.com/institution/university-of-massachusetts-medical-school-worcester
National Autonomous University of Mexico,201-300,https://www.shanghairanking.com/institution/national-autonomous-university-of-mexico
University of Science and Technology Beijing,201-300,https://www.shanghairanking.com/institution/university-of-science-and-technology-beijing
The University of Texas Health Science Center at Houston,201-300,https://www.shanghairanking.com/institution/the-university-of-texas-health-science-center-at-houston
University of Aberdeen,201-300,https://www.shanghairanking.com/institution/university-of-aberdeen
University of Antwerp,201-300,https://www.shanghairanking.com/institution/university-of-antwerp
University of Barcelona,201-300,https://www.shanghairanking.com/institution/university-of-barcelona
University of Bologna,201-300,https://www.shanghairanking.com/institution/university-of-bologna
University of Bordeaux,201-300,https://www.shanghairanking.com/institution/university-of-bordeaux
University of Buenos Aires,201-300,https://www.shanghairanking.com/institution/university-of-buenos-aires
"University of California, Riverside",201-300,https://www.shanghairanking.com/institution/university-of-california-riverside
University of Cape Town,201-300,https://www.shanghairanking.com/institution/university-of-cape-town
University of Cincinnati,201-300,https://www.shanghairanking.com/institution/university-of-cincinnati
University of Colorado at Denver,201-300,https://www.shanghairanking.com/institution/university-of-colorado-at-denver
University of Delaware,201-300,https://www.shanghairanking.com/institution/university-of-delaware
University of East Anglia,201-300,https://www.shanghairanking.com/institution/university-of-east-anglia
University of Erlangen-Nuremberg,201-300,https://www.shanghairanking.com/institution/university-of-erlangen-nuremberg
University of Granada,201-300,https://www.shanghairanking.com/institution/university-of-granada
University of Hamburg,201-300,https://www.shanghairanking.com/institution/university-of-hamburg
University of Iowa,201-300,https://www.shanghairanking.com/institution/university-of-iowa
University of Kiel,201-300,https://www.shanghairanking.com/institution/university-of-kiel
University of Leipzig,201-300,https://www.shanghairanking.com/institution/university-of-leipzig
University of Lisbon,201-300,https://www.shanghairanking.com/institution/university-of-lisbon
University of Lorraine,201-300,https://www.shanghairanking.com/institution/university-of-lorraine
University of Mainz,201-300,https://www.shanghairanking.com/institution/university-of-mainz
University of Manitoba,201-300,https://www.shanghairanking.com/institution/university-of-manitoba
University of Missouri - Columbia,201-300,https://www.shanghairanking.com/institution/university-of-missouri-columbia
University of Muenster,201-300,https://www.shanghairanking.com/institution/university-of-muenster
University of Naples Federico II,201-300,https://www.shanghairanking.com/institution/university-of-naples-federico-ii
University of Nebraska - Lincoln,201-300,https://www.shanghairanking.com/institution/university-of-nebraska-lincoln
University of Ottawa,201-300,https://www.shanghairanking.com/institution/university-of-ottawa
University of Porto,201-300,https://www.shanghairanking.com/institution/university-of-porto
University of Rochester,201-300,https://www.shanghairanking.com/institution/university-of-rochester
University of Sussex,201-300,https://www.shanghairanking.com/institution/university-of-sussex
University of Tasmania,201-300,https://www.shanghairanking.com/institution/university-of-tasmania
University of Technology Sydney,201-300,https://www.shanghairanking.com/institution/university-of-technology-sydney
University of Tennessee - Knoxville,201-300,https://www.shanghairanking.com/institution/university-of-tennessee-knoxville
University of Tsukuba,201-300,https://www.shanghairanking.com/institution/university-of-tsukuba
University of Turin,201-300,https://www.shanghairanking.com/institution/university-of-turin
University of Virginia,201-300,https://www.shanghairanking.com/institution/university-of-virginia
University of Wollongong,201-300,https://www.shanghairanking.com/institution/university-of-wollongong
University of Wuerzburg,201-300,https://www.shanghairanking.com/institution/university-of-wuerzburg
Virginia Commonwealth University,201-300,https://www.shanghairanking.com/institution/virginia-commonwealth-university
Virginia Polytechnic Institute and State University,201-300,https://www.shanghairanking.com/institution/virginia-polytechnic-institute-and-state-university
Wuhan University of Technology,201-300,https://www.shanghairanking.com/institution/wuhan-university-of-technology
Yonsei University,201-300,https://www.shanghairanking.com/institution/yonsei-university
Aalborg University,301-400,https://www.shanghairanking.com/institution/aalborg-university
Aalto University,301-400,https://www.shanghairanking.com/institution/aalto-university
Autonomous University of Barcelona,301-400,https://www.shanghairanking.com/institution/autonomous-university-of-barcelona
Autonomous University of Madrid,301-400,https://www.shanghairanking.com/institution/autonomous-university-of-madrid
Beijing University of Technology,301-400,https://www.shanghairanking.com/institution/beijing-university-of-technology
Brandeis University,301-400,https://www.shanghairanking.com/institution/brandeis-university
Cairo University,301-400,https://www.shanghairanking.com/institution/cairo-university
Charles University in Prague,301-400,https://www.shanghairanking.com/institution/charles-university-in-prague
China University of Geosciences (Beijing),301-400,https://www.shanghairanking.com/institution/china-university-of-geosciences-beijing
Colorado State University,301-400,https://www.shanghairanking.com/institution/colorado-state-university
Complutense University of Madrid,301-400,https://www.shanghairanking.com/institution/complutense-university-of-madrid
Dalhousie University,301-400,https://www.shanghairanking.com/institution/dalhousie-university
Dartmouth College,301-400,https://www.shanghairanking.com/institution/dartmouth-college
Durham University,301-400,https://www.shanghairanking.com/institution/durham-university
East China University of Science and Technology,301-400,https://www.shanghairanking.com/institution/east-china-university-of-science-and-technology
Flinders University,301-400,https://www.shanghairanking.com/institution/flinders-university
Griffith University,301-400,https://www.shanghairanking.com/institution/griffith-university
Guangdong University of Technology,301-400,https://www.shanghairanking.com/institution/guangdong-university-of-technology
Guangxi University,301-400,https://www.shanghairanking.com/institution/guangxi-university
Heinrich Heine University Duesseldorf,301-400,https://www.shanghairanking.com/institution/heinrich-heine-university-duesseldorf
The Hong Kong University of Science and Technology,301-400,https://www.shanghairanking.com/institution/the-hong-kong-university-of-science-and-technology
Huazhong Agricultural University,301-400,https://www.shanghairanking.com/institution/huazhong-agricultural-university
Indian Institute of Science,301-400,https://www.shanghairanking.com/institution/indian-institute-of-science
Indiana University-Purdue University at Indianapolis,301-400,https://www.shanghairanking.com/institution/indiana-university-purdue-university-at-indianapolis
Institut Polytechnique de Paris,301-400,https://www.shanghairanking.com/institution/institut-polytechnique-de-paris
James Cook University,301-400,https://www.shanghairanking.com/institution/james-cook-university
Jiangnan University,301-400,https://www.shanghairanking.com/institution/jiangnan-university
Karlsruhe Institute of Technology (KIT),301-400,https://www.shanghairanking.com/institution/karlsruhe-institute-of-technology-kit
Keio University,301-400,https://www.shanghairanking.com/institution/keio-university
Kyushu University,301-400,https://www.shanghairanking.com/institution/kyushu-university
La Trobe University,301-400,https://www.shanghairanking.com/institution/la-trobe-university
Lancaster University,301-400,https://www.shanghairanking.com/institution/lancaster-university
Laval University,301-400,https://www.shanghairanking.com/institution/laval-university
Linkoping University,301-400,https://www.shanghairanking.com/institution/linkoping-university
Nanchang University,301-400,https://www.shanghairanking.com/institution/nanchang-university
Nanjing Agricultural University,301-400,https://www.shanghairanking.com/institution/nanjing-agricultural-university
Nanjing University of Aeronautics and Astronautics,301-400,https://www.shanghairanking.com/institution/nanjing-university-of-aeronautics-and-astronautics
Nanjing University of Information Science & Technology,301-400,https://www.shanghairanking.com/institution/nanjing-university-of-information-science-technology
Nanjing University of Science and Technology,301-400,https://www.shanghairanking.com/institution/nanjing-university-of-science-and-technology
National Cheng Kung University (NCKU),301-400,https://www.shanghairanking.com/institution/national-cheng-kung-university-ncku
Northeastern University (Shenyang),301-400,https://www.shanghairanking.com/institution/northeastern-university-shenyang
Northwest A&F University,301-400,https://www.shanghairanking.com/institution/northwest-a-f-university
Ocean University of China,301-400,https://www.shanghairanking.com/institution/ocean-university-of-china
Okinawa Institute of Science and Technology Graduate University,301-400,https://www.shanghairanking.com/institution/okinawa-institute-of-science-and-technology-graduate-university
Paul Sabatier University (Toulouse 3),301-400,https://www.shanghairanking.com/institution/paul-sabatier-university-toulouse-3
Pohang University of Science and Technology,301-400,https://www.shanghairanking.com/institution/pohang-university-of-science-and-technology
Pompeu Fabra University,301-400,https://www.shanghairanking.com/institution/pompeu-fabra-university
Princess Nourah bint Abdulrahman University,301-400,https://www.shanghairanking.com/institution/princess-nourah-bint-abdulrahman-university
Queen's University Belfast,301-400,https://www.shanghairanking.com/institution/queens-university-belfast
Queensland University of Technology,301-400,https://www.shanghairanking.com/institution/queensland-university-of-technology
RMIT University,301-400,https://www.shanghairanking.com/institution/rmit-university
ShanghaiTech University,301-400,https://www.shanghairanking.com/institution/shanghaitech-university
Simon Fraser University,301-400,https://www.shanghairanking.com/institution/simon-fraser-university
"University at Buffalo, the State University of New York",301-400,https://www.shanghairanking.com/institution/university-at-buffalo-the-state-university-of-new-york
Stony Brook University,301-400,https://www.shanghairanking.com/institution/stony-brook-university
