university_name,rank,qs_uni_link
Yonsei University (Seoul campus),76,https://www.timeshighereducation.com/world-university-rankings/yonsei-university-seoul-campus
Leiden University,77,https://www.timeshighereducation.com/world-university-rankings/leiden-university
Boston University,78,https://www.timeshighereducation.com/world-university-rankings/boston-university
University of Groningen,79,https://www.timeshighereducation.com/world-university-rankings/university-groningen
University of Zurich,80,https://www.timeshighereducation.com/world-university-rankings/university-zurich
University of Bristol,81,https://www.timeshighereducation.com/world-university-rankings/university-bristol
City University of Hong Kong,82,https://www.timeshighereducation.com/world-university-rankings/city-university-hong-kong
Korea Advanced Institute of Science and Technology (KAIST),83,https://www.timeshighereducation.com/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
UNSW Sydney,84,https://www.timeshighereducation.com/world-university-rankings/unsw-sydney
University of Minnesota,85,https://www.timeshighereducation.com/world-university-rankings/university-minnesota
Purdue University West Lafayette,86,https://www.timeshighereducation.com/world-university-rankings/purdue-university-west-lafayette
University of Glasgow,=87,https://www.timeshighereducation.com/world-university-rankings/university-glasgow
The Hong Kong Polytechnic University,=87,https://www.timeshighereducation.com/world-university-rankings/hong-kong-polytechnic-university
Humboldt University of Berlin,=87,https://www.timeshighereducation.com/world-university-rankings/humboldt-university-berlin
RWTH Aachen University,90,https://www.timeshighereducation.com/world-university-rankings/rwth-aachen-university
University of Bonn,91,https://www.timeshighereducation.com/world-university-rankings/university-bonn
"University of California, Irvine",=92,https://www.timeshighereducation.com/world-university-rankings/university-california-irvine
Vanderbilt University,=92,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university
Charité - Universitätsmedizin Berlin,94,https://www.timeshighereducation.com/world-university-rankings/charite-universitatsmedizin-berlin
University of Tübingen,=95,https://www.timeshighereducation.com/world-university-rankings/university-tubingen
KTH Royal Institute of Technology,=97,https://www.timeshighereducation.com/world-university-rankings/kth-royal-institute-technology
University of Southampton,=97,https://www.timeshighereducation.com/world-university-rankings/university-southampton
