 id_,university_name,website,wikipedia
60,Renison University College,https://uwaterloo.ca/renison/,https://en.wikipedia.org/wiki/Renison_University_College
61,Conrad Grebel University College,https://uwaterloo.ca/grebel/,https://en.wikipedia.org/wiki/Conrad_Grebel_University_College
62,Western University,https://www.uwo.ca,https://en.wikipedia.org/wiki/Western_University
63,Brescia University College,https://brescia.uwo.ca/,https://en.wikipedia.org/wiki/Brescia_University_College
64,Huron University College,https://huronuc.ca/,https://en.wikipedia.org/wiki/Huron_University_College
65,King's College,https://www.kcl.ac.uk,https://en.wikipedia.org/wiki/King%27s_College_London
66,Wilfrid Laurier University,https://www.wlu.ca,https://en.wikipedia.org/wiki/Wilfrid_Laurier_University
67,University of Windsor,https://www.uwindsor.ca,https://en.wikipedia.org/wiki/University_of_Windsor
68,York University,http://www.yorku.ca,https://en.wikipedia.org/wiki/York_University
69,Ontario College of Art and Design University,https://www.ocadu.ca,https://en.wikipedia.org/wiki/Ontario_College_of_Art_and_Design_University
70,University of Ontario Institute of Technology,https://ontariotechu.ca/,https://en.wikipedia.org/wiki/Ontario_Tech_University
72,University of Sudbury,https://usudbury.ca/,https://en.wikipedia.org/wiki/University_of_Sudbury
73,Université de Hearst,https://www.uhearst.ca,https://en.wikipedia.org/wiki/Universit%C3%A9_de_Hearst
74,Huntington University,https://www.huntingtonu.ca,https://en.wikipedia.org/wiki/Huntington_University
75,Thorneloe University,https://www.thorneloe.ca,https://en.wikipedia.org/wiki/Thorneloe_University
77,Canadian Mennonite University,https://www.cmu.ca,https://en.wikipedia.org/wiki/Canadian_Mennonite_University
78,University of Manitoba,http://umanitoba.ca/,https://en.wikipedia.org/wiki/University_of_Manitoba
79,Université de Saint-Boniface,https://ustboniface.ca/,https://en.wikipedia.org/wiki/Universit%C3%A9_de_Saint-Boniface
80,University of Winnipeg,https://www.uwinnipeg.ca,https://en.wikipedia.org/wiki/University_of_Winnipeg
81,University of Regina,https://www.uregina.ca,https://en.wikipedia.org/wiki/University_of_Regina
82,Campion College,https://campioncollege.ca,"https://en.wikipedia.org/wiki/Campion_College,_Regina"
83,Luther College,https://www.luthercollege.edu,https://en.wikipedia.org/wiki/Luther_College_(Saskatchewan)
