,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
78,1632,Oregon State University,Oregon State University,201-300,https://www.shanghairanking.com/institution/oregon-state-university
79,575,The George Washington University,The George Washington University,201-300,https://www.shanghairanking.com/institution/the-george-washington-university
80,562,Trinity College Dublin,Trinity College,201-300,https://www.shanghairanking.com/institution/trinity-college-dublin
81,997,University of Massachusetts Medical School - Worcester,University of Massachusetts Medical School,201-300,https://www.shanghairanking.com/institution/university-of-massachusetts-medical-school-worcester
83,496,"University of California, Riverside",University of California,201-300,https://www.shanghairanking.com/institution/university-of-california-riverside
84,1576,University of Cincinnati,University of Cincinnati,201-300,https://www.shanghairanking.com/institution/university-of-cincinnati
87,546,University of Colorado at Denver,University of Colorado,201-300,https://www.shanghairanking.com/institution/university-of-colorado-at-denver
88,583,University of Delaware,University of Delaware,201-300,https://www.shanghairanking.com/institution/university-of-delaware
89,1315,University of Nebraska - Lincoln,University of Nebraska,201-300,https://www.shanghairanking.com/institution/university-of-nebraska-lincoln
90,1487,University of Rochester,University of Rochester,201-300,https://www.shanghairanking.com/institution/university-of-rochester
91,2008,University of Virginia,University of Virginia's College at Wise,201-300,https://www.shanghairanking.com/institution/university-of-virginia
93,2010,Virginia Commonwealth University,Virginia Commonwealth University,201-300,https://www.shanghairanking.com/institution/virginia-commonwealth-university
94,2017,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,201-300,https://www.shanghairanking.com/institution/virginia-polytechnic-institute-and-state-university
95,948,Brandeis University,Brandeis University,301-400,https://www.shanghairanking.com/institution/brandeis-university
96,526,Colorado State University,Colorado State University,301-400,https://www.shanghairanking.com/institution/colorado-state-university
98,1327,Dartmouth College,Dartmouth College,301-400,https://www.shanghairanking.com/institution/dartmouth-college
99,854,Indiana University-Purdue University at Indianapolis,Indiana University,301-400,https://www.shanghairanking.com/institution/indiana-university-purdue-university-at-indianapolis
101,984,Northeastern University (Shenyang),Northeastern University,301-400,https://www.shanghairanking.com/institution/northeastern-university-shenyang
103,1407,"University at Buffalo, the State University of New York",University at Buffalo,301-400,https://www.shanghairanking.com/institution/university-at-buffalo-the-state-university-of-new-york
105,1499,Stony Brook University,Stony Brook University,301-400,https://www.shanghairanking.com/institution/stony-brook-university
106,701,The University of Georgia,University of Georgia,301-400,https://www.shanghairanking.com/institution/the-university-of-georgia
107,642,University of Central Florida,University of Central Florida,301-400,https://www.shanghairanking.com/institution/university-of-central-florida
