university_name,id_
Oregon Institute of Technology,1232
Oregon State University,1233
Otis College of Art and Design,1234
Ottawa University,1235
Otterbein University,1236
Ouachita Baptist University,1237
Our Lady of the Lake University,1238
Ozark Christian College,1239
Pace University,1240
Pacific College,1241
Pacific Lutheran University,2057
Pacific Northwest College of Art,1243
Pacific Oaks College,1244
Pacific Union College,1245
Pacific University,1246
Paine College,1247
Palm Beach Atlantic University,1248
Palm Beach State College,1249
Parker University,1250
Park University,1251
Pasco-Hernando State College,1252
Patrick Henry College,1253
Paul Quinn College,1254
Paul Smith's College,1255
Peirce College,1256
Peninsula College,2055
Pennsylvania Academy of the Fine Arts,1258
Pennsylvania College of Art & Design,1259
Pennsylvania College of Technology,1260
Pennsylvania State University -- Behrend,1261
Pennsylvania State University--Berks,1262
Pennsylvania State University--Harrisburg,1263
The Pennsylvania State University--University Park,1264
Pennsylvania Western University,1265
Pensacola State College,1266
Pepperdine University,1267
Peru State College,1268
Pfeiffer University,1269
Philander Smith College,1270
Phillips School of Nursing at Mount Sinai Beth Israel,1271
Piedmont University,1272
Pillar College,1273
Pittsburgh Technical College,1274
Pittsburg State University,1275
Pitzer College,1276
Platt College,1277
Plaza College,1278
Plymouth State University,1279
Point Loma Nazarene University,1280
Point Park University,1281
Point University,1282
Polk State College,1283
Pomona College,1284
Pontifical Catholic University of Puerto Rico--Arecibo,1285
Pontifical Catholic University of Puerto Rico--Ponce,1286
Pontifical College Josephinum,1287
Portland State University,1288
Post University,1289
Prairie View A&M University,1290
Pratt Institute,1291
Presbyterian College,1292
Prescott College,1293
Princeton University,1294
Principia College,1295
Providence Christian College,1296
Providence College,1297
Provo College,1298
Pueblo Community College,1299
Puerto Rico Conservatory of Music,1300
Purchase College--SUNY,1301
Purdue University--Fort Wayne,1302
Purdue University Global,1303
Purdue University--Main Campus,1304
Purdue University--Northwest,1305
Queens University of Charlotte,1306
Quincy University,1307
Quinnipiac University,1308
Radford University,1309
Ramapo College of New Jersey,1310
Randolph College,1311
Randolph-Macon College,1312
Ranken Technical College,1313
Rasmussen University,1314
Red Rocks Community College,1315
Reed College,1316
Regent's American College London,1317
Regent University,1318
Regis College,1319
Regis University,1320
Reinhardt University,1321
Rensselaer Polytechnic Institute,1322
Renton Technical College,2058
Research College of Nursing,1324
Rhode Island College,1325
Rhode Island School of Design,1326
Rhodes College,1327
Rice University,1328
Richmond American University London,1329
Rider University,1330
Ringling College of Art and Design,1331
Rio Hondo College,1332
Ripon College,1333
Rivier University,1334
Roanoke College,1335
Robert Morris University,1336
Roberts Wesleyan College,1337
Rochester Institute of Technology,1338
Rochester University,1339
Rockford University,1340
Rockhurst University,1341
Rocky Mountain College,1342
Rocky Mountain College of Art and Design,1343
Rogers State University,1344
Roger Williams University,1345
Rollins College,1346
Roosevelt University,1347
Rose-Hulman Institute of Technology,1348
Roseman University of Health Sciences,1349
Rosemont College,1350
Rowan University,1351
Russell Sage College,1352
Rust College,1353
Rutgers University--Camden,1354
Rutgers University--Newark,1355
Rutgers University--New Brunswick,1356
Sacred Heart Major Seminary,1357
Sacred Heart University,1358
Saginaw Valley State University,1359
Saint Anselm College,1360
Saint Anthony College of Nursing,1361
Saint Augustine's University,1362
Saint Elizabeth University,1363
Saint Johns River State College,1364
Saint Joseph's University,1365
Saint Leo University,1366
Saint Louis University,1367
Saint Martin's University,2067
Saint Mary-of-the-Woods College,1369
Saint Mary's College,1370
Saint Mary's College of California,1371
Saint Mary's University of Minnesota,1372
Saint Michael's College,1373
Saint Peter's University,1374
Saint Vincent College,1375
Saint Xavier University,1376
Salem College,1377
Salem State University,1378
Salem University,1379
Salisbury University,1380
Salish Kootenai College,1381
Salve Regina University,1382
Samford University,1383
Sam Houston State University,1384
Samuel Merritt University,1385
San Diego Christian College,1386
San Diego Mesa College,1387
San Diego State University,1388
San Francisco Conservatory of Music,1389
San Francisco State University,1390
San Joaquin Valley College--Visalia,1391
San Jose State University,1392
San Juan Bautista School of Medicine,1393
Santa Ana College,1394
Santa Clara University,1395
Santa Fe College,1396
Santa Monica College,1397
Sarah Lawrence College,1398
Savannah College of Art and Design,1399
Savannah State University,1400
Schoolcraft College,1401
School of the Art Institute of Chicago,1402
School of Visual Arts,1403
Schreiner University,1404
Scripps College,1405
Seattle Central College,2059
Seattle Pacific University,2066
Seattle University,2060
Seminole State College of Florida,1409
Sentara College of Health Sciences,1410
Seton Hall University,1411
Seton Hill University,1412
Shasta College,1413
Shawnee State University,1414
Shaw University,1415
Shenandoah University,1416
Shepherd University,2127
Shippensburg University of Pennsylvania,1418
Shorter University,1419
Siena College,1420
Siena Heights University,1421
Sierra Nevada University,1422
Simmons University,1423
Simpson College,1424
Simpson University,1425
Sinte Gleska University,1426
Sitting Bull College,1427
Skagit Valley College,2063
Skidmore College,1429
Skyline College,1430
Slippery Rock University of Pennsylvania,1431
Smith College,1432
Snow College,1433
Soka University of America,1434
Solano Community College,1435
